timestamp,pv_low,pv_high,Price,Temperature,Pressure (hPa),Cloud_cover (%),Cloud_cover_low (%),Cloud_cover_mid (%),Cloud_cover_high (%),Wind_speed_10m (km/h),Shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²)
2014-07-08 00:00:00+00:00,0.0,0.0,0.06096,19.5,1021.7,84,0,18,80,13.7,0,0,0,0.0
2014-07-08 01:00:00+00:00,0.0,0.0,0.07006,19.0,1021.8,62,0,13,57,12.9,0,0,0,0.0
2014-07-08 02:00:00+00:00,0.0,0.0,0.07005,18.4,1021.6,17,0,15,3,11.8,0,0,0,0.0
2014-07-08 03:00:00+00:00,0.0,0.0,0.055,17.9,1021.4,7,0,7,0,11.4,0,0,0,0.0
2014-07-08 04:00:00+00:00,0.0,0.0,0.05757,17.5,1021.4,4,0,4,0,11.1,5,1,4,16.4
2014-07-08 05:00:00+00:00,0.0,0.18,0.07006,17.8,1021.5,6,0,6,0,11.1,51,25,26,219.9
2014-07-08 06:00:00+00:00,0.0,0.58,0.04968,19.2,1021.5,6,0,5,0,10.9,137,87,50,404.9
2014-07-08 07:00:00+00:00,0.0,1.58,0.06806,21.0,1021.5,7,0,2,4,10.6,258,188,70,559.1
2014-07-08 08:00:00+00:00,0.0,2.52,0.07489,22.7,1021.5,7,0,1,5,11.2,386,302,84,660.6
2014-07-08 09:00:00+00:00,0.03,2.83,0.09684,24.2,1021.5,6,0,3,2,11.9,483,392,91,688.4
2014-07-08 10:00:00+00:00,0.21,0.36,0.10008,25.3,1021.5,7,1,7,0,13.5,620,523,97,786.2
2014-07-08 11:00:00+00:00,0.16,0.39,0.10243,25.8,1021.5,23,8,21,0,15.3,689,585,104,792.5
2014-07-08 12:00:00+00:00,0.29,0.41,0.09509,26.1,1021.4,11,0,10,0,15.3,742,632,110,806.9
2014-07-08 13:00:00+00:00,0.19,0.85,0.0900499999999999,26.3,1021.2,7,2,7,0,15.7,743,636,107,797.6
2014-07-08 14:00:00+00:00,0.27,0.73,0.0900499999999999,26.4,1021.1,6,0,5,0,16.4,714,592,122,759.4
2014-07-08 15:00:00+00:00,0.07,1.36,0.09484,26.2,1020.7,3,0,3,0,16.2,649,539,110,737.3
2014-07-08 16:00:00+00:00,0.0,0.66,0.09351,25.9,1020.4,1,0,1,0,15.7,599,492,107,751.0
2014-07-08 17:00:00+00:00,0.0,0.23,0.09778,25.4,1019.8,1,0,0,0,15.8,483,392,91,703.9
2014-07-08 18:00:00+00:00,0.0,0.3,0.0920499999999999,24.4,1019.7,0,0,0,0,14.7,363,275,88,620.5
2014-07-08 19:00:00+00:00,0.0,0.01,0.09591,23.3,1019.6,0,0,0,0,15.0,248,181,67,562.8
2014-07-08 20:00:00+00:00,0.0,0.0,0.09762,21.9,1019.4,0,0,0,0,15.0,130,76,54,379.1
2014-07-08 21:00:00+00:00,0.0,0.0,0.0902699999999999,20.4,1019.6,0,0,0,0,14.7,48,24,24,224.6
2014-07-08 22:00:00+00:00,0.0,0.0,0.07956,19.3,1019.8,0,0,0,0,13.6,3,1,2,18.4
2014-07-08 23:00:00+00:00,0.0,0.0,0.06631,18.5,1020.0,0,0,0,0,13.1,0,0,0,0.0
