Hour,Demand_kW,Price_EUR,PV_low_kW,Import_low_kW,Export_low_kW,Charge_low_kW,Discharge_low_kW,SOC_low_kWh,PV_high_kW,Import_high_kW,Export_high_kW,Charge_high_kW,Discharge_high_kW,SOC_high_kWh
0,0.294,0.061,0.0,0.0,0.0,0.0,0.294,5.0,0.0,0.0,0.0,0.0,0.294,5.0
1,0.29,0.0701,0.0,0.0,0.0,0.0,0.29,4.691,0.0,0.0,0.0,0.0,0.29,4.691
2,0.287,0.07,0.0,0.0,0.0,0.0,0.287,4.385,0.0,0.0,0.0,0.0,0.287,4.385
3,0.28,0.055,0.0,2.217,0.0,1.938,0.0,4.083,0.0,0.0,0.0,0.0,0.28,4.083
4,0.277,0.0576,0.0,0.277,0.0,0.0,0.0,5.924,0.0,0.0,0.0,0.0,0.277,3.789
5,0.298,0.0701,0.0,0.0,0.0,0.0,0.298,5.924,0.18,0.0,0.0,0.0,0.118,3.497
6,0.379,0.0497,0.0,5.0,0.0,4.621,0.0,5.61,0.58,0.0,0.0,0.201,0.0,3.372
7,0.501,0.0681,0.0,0.501,0.0,0.0,0.0,10.0,1.58,0.0,0.0,1.079,0.0,3.563
8,0.58,0.0749,0.0,0.58,0.0,0.0,0.0,10.0,2.52,0.0,0.0,1.94,0.0,4.588
9,0.597,0.0968,0.03,0.0,0.0,0.0,0.567,10.0,2.83,0.0,0.948,1.285,0.0,6.432
10,0.665,0.1001,0.21,0.0,0.0,0.0,0.455,9.403,0.36,0.0,0.0,0.0,0.305,7.652
11,0.802,0.1024,0.16,0.0,0.0,0.0,0.642,8.925,0.39,0.0,0.0,0.0,0.412,7.332
12,0.925,0.0951,0.29,0.0,0.0,0.0,0.635,8.248,0.41,0.0,0.0,0.0,0.515,6.898
13,0.855,0.09,0.19,0.0,0.0,0.0,0.665,7.58,0.85,0.0,0.0,0.0,0.005,6.355
14,0.744,0.09,0.27,0.0,0.0,0.0,0.474,6.88,0.73,0.0,0.0,0.0,0.014,6.35
15,0.662,0.0948,0.07,0.0,0.0,0.0,0.592,6.381,1.36,0.0,0.0,0.698,0.0,6.336
16,0.762,0.0935,0.0,0.0,0.0,0.0,0.762,5.758,0.66,0.0,0.0,0.0,0.102,6.999
17,0.822,0.0978,0.0,0.0,0.0,0.0,0.822,4.957,0.23,0.0,0.0,0.0,0.592,6.892
18,0.816,0.092,0.0,0.0,0.0,0.0,0.816,4.091,0.3,0.0,0.0,0.0,0.516,6.268
19,0.991,0.0959,0.0,0.0,0.0,0.0,0.991,3.232,0.01,0.0,0.0,0.0,0.981,5.726
20,0.876,0.0976,0.0,0.0,0.0,0.0,0.876,2.189,0.0,0.0,0.0,0.0,0.876,4.693
21,0.764,0.0903,0.0,0.0,0.0,0.0,0.764,1.267,0.0,0.0,0.0,0.0,0.764,3.771
22,0.549,0.0796,0.0,0.11,0.0,0.0,0.44,0.463,0.0,0.0,0.0,0.0,0.549,2.967
23,0.369,0.0663,0.0,2.474,0.0,2.105,0.0,0.0,0.0,0.0,0.0,0.0,0.369,2.388
