start,end,length_hours
2013-07-03 04:00:00+00:00,2013-07-03 05:00:00+00:00,1.0
2013-07-04 21:00:00+00:00,2013-07-04 22:00:00+00:00,1.0
2013-07-06 02:00:00+00:00,2013-07-06 03:00:00+00:00,1.0
2013-07-08 02:00:00+00:00,2013-07-08 03:00:00+00:00,1.0
2013-07-10 05:00:00+00:00,2013-07-10 06:00:00+00:00,1.0
2013-07-11 20:00:00+00:00,2013-07-11 21:00:00+00:00,1.0
2013-07-12 15:00:00+00:00,2013-07-12 16:00:00+00:00,1.0
2013-07-12 18:00:00+00:00,2013-07-12 19:00:00+00:00,1.0
2013-07-13 18:00:00+00:00,2013-07-13 19:00:00+00:00,1.0
2013-07-13 22:00:00+00:00,2013-07-13 23:00:00+00:00,1.0
2013-07-15 02:00:00+00:00,2013-07-15 03:00:00+00:00,1.0
2013-07-15 07:00:00+00:00,2013-07-15 08:00:00+00:00,1.0
2013-07-15 14:00:00+00:00,2013-07-15 15:00:00+00:00,1.0
2013-07-15 22:00:00+00:00,2013-07-15 23:00:00+00:00,1.0
2013-07-16 05:00:00+00:00,2013-07-16 06:00:00+00:00,1.0
2013-07-18 06:00:00+00:00,2013-07-18 07:00:00+00:00,1.0
2013-07-19 21:00:00+00:00,2013-07-19 22:00:00+00:00,1.0
2013-07-20 07:00:00+00:00,2013-07-20 08:00:00+00:00,1.0
2013-07-20 17:00:00+00:00,2013-07-20 18:00:00+00:00,1.0
2013-07-21 03:00:00+00:00,2013-07-21 04:00:00+00:00,1.0
2013-07-22 21:00:00+00:00,2013-07-22 22:00:00+00:00,1.0
2013-07-23 11:00:00+00:00,2013-07-23 12:00:00+00:00,1.0
2013-07-24 11:00:00+00:00,2013-07-24 12:00:00+00:00,1.0
2013-07-24 21:00:00+00:00,2013-07-24 22:00:00+00:00,1.0
2013-07-26 13:00:00+00:00,2013-07-26 14:00:00+00:00,1.0
2013-07-26 22:00:00+00:00,2013-07-26 23:00:00+00:00,1.0
2013-07-31 01:00:00+00:00,2013-07-31 02:00:00+00:00,1.0
2013-07-31 04:00:00+00:00,2013-07-31 05:00:00+00:00,1.0
2013-07-31 08:00:00+00:00,2013-07-31 09:00:00+00:00,1.0
2013-07-31 15:00:00+00:00,2013-07-31 16:00:00+00:00,1.0
2013-08-01 13:00:00+00:00,2013-08-01 14:00:00+00:00,1.0
2013-08-02 17:00:00+00:00,2013-08-02 18:00:00+00:00,1.0
2013-08-02 19:00:00+00:00,2013-08-02 20:00:00+00:00,1.0
2013-08-03 12:00:00+00:00,2013-08-03 13:00:00+00:00,1.0
2013-08-03 19:00:00+00:00,2013-08-03 21:00:00+00:00,2.0
2013-08-05 18:00:00+00:00,2013-08-05 19:00:00+00:00,1.0
2013-08-06 22:00:00+00:00,2013-08-07 00:00:00+00:00,2.0
2013-08-10 00:00:00+00:00,2013-08-10 01:00:00+00:00,1.0
2013-08-10 09:00:00+00:00,2013-08-10 10:00:00+00:00,1.0
2013-08-11 01:00:00+00:00,2013-08-11 02:00:00+00:00,1.0
2013-08-13 05:00:00+00:00,2013-08-13 06:00:00+00:00,1.0
2013-08-13 17:00:00+00:00,2013-08-13 18:00:00+00:00,1.0
2013-08-13 19:00:00+00:00,2013-08-13 20:00:00+00:00,1.0
2013-08-14 16:00:00+00:00,2013-08-14 17:00:00+00:00,1.0
2013-08-14 22:00:00+00:00,2013-08-14 23:00:00+00:00,1.0
