hour,% missing
0,3.8356164383561646
1,4.931506849315069
2,5.7534246575342465
3,3.8356164383561646
4,6.301369863013699
5,4.931506849315069
6,5.7534246575342465
7,7.123287671232877
8,4.657534246575342
9,4.657534246575342
10,4.931506849315069
11,4.657534246575342
12,3.0136986301369864
13,5.47945205479452
14,4.657534246575342
15,4.931506849315069
16,5.205479452054795
17,5.205479452054795
18,3.8356164383561646
19,3.5616438356164384
20,4.931506849315069
21,6.301369863013699
22,6.575342465753424
23,4.945054945054945
