,mean,std,min,max,skewness,kurtosis
Demand,0.531,0.375,0.0,4.24,2.484,8.801
Temperature,7.515,8.312,-18.3,28.9,-0.209,-0.023
Pressure (hPa),1012.776,10.199,971.7,1041.0,-0.375,0.795
Cloud_cover (%),68.705,36.274,0.0,100.0,-0.778,-0.955
Wind_speed_10m (km/h),15.991,7.451,0.4,51.1,0.505,-0.044
Shortwave_radiation (W/m²),114.955,181.902,0.0,756.0,1.661,1.751
direct_radiation (W/m²),67.146,133.208,0.0,702.0,2.299,4.642
diffuse_radiation (W/m²),45.229,63.792,0.0,343.0,1.479,1.587
direct_normal_irradiance (W/m²),143.466,232.824,0.0,896.7,1.563,1.21
Price,0.046,0.025,0.0,0.255,1.2,5.481
