,mutual_information,permutation
hour_cos,0.13385109434448594,0.2935009475250211
hour_sin,0.10949524172806724,0.5155023903947519
heating_degree,0.08947574470865849,0.16176315826597212
Temperature,0.08154631127525214,0.1326690097215566
Cloud_cover (%),0.06735774170833597,0.09722370073580155
Pressure (hPa),0.052036542807875286,0.2573952344636152
direct_radiation (W/m²),0.04409765121070075,0.037660284972933354
diffuse_radiation (W/m²),0.03410856987356592,0.06387786301035892
Shortwave_radiation (W/m²),0.031569947540286414,0.04375743951666067
Price,0.0224197475518908,0.30792993860861745
direct_normal_irradiance (W/m²),0.014724189488481976,0.07755597399191079
cooling_degree,0.007367587348311222,0.006382285355629014
temp_irradiance_interaction,0.0029439223772920187,0.06468637965134094
Wind_speed_10m (km/h),0.0008983096658798928,0.15798876237086854
is_weekend,0.0,0.011711750605301755
